Objectives - Contribution,Objectives - Timeliness,Objectives - Usefulness,Objectives - Clarity,OrgPrep - Planning,OrgPrep - GroupPrep,OrgPrep - Time,OrgPrep - Venue,OrgPrep - Zest,Involvement - Enthusiasm,Involvement - Level,department_name
3,3,3,3,3,3,3,3,3,5,3,BE
3,3,4,3,4,3,4,4,3,4,4,SIT
3,4,3,3,5,3,3,3,3,3,3,SAB
4,4,3,4,4,3,4,3,4,4,3,SIT
4,3,3,3,3,3,4,3,3,3,3,SHS
3,3,3,3,3,3,3,3,3,3,3,SAB
1,3,3,3,3,3,3,3,3,3,4,SAS
3,4,3,3,3,3,3,3,3,4,4,BE
4,4,3,5,4,2,4,3,3,3,3,SED
3,3,3,3,3,3,5,3,3,3,2,SHS
5,4,3,3,4,3,5,3,3,3,5,BE
3,4,3,2,4,3,3,3,3,4,3,SHS
3,3,3,4,3,3,4,3,3,3,3,SED
5,4,3,3,3,3,3,3,3,4,3,BE
3,3,3,2,4,3,4,3,3,3,3,SAB
3,3,3,1,3,3,3,2,3,2,3,BE
3,4,2,3,5,3,3,3,4,3,3,SHS
3,3,3,2,4,3,3,3,3,3,3,SED
1,3,3,3,4,3,4,3,3,3,3,SED
3,4,3,3,5,3,3,3,4,3,3,SAS
4,3,3,2,3,3,4,3,3,2,3,BE
3,3,2,3,3,2,3,3,3,4,3,BE
3,3,3,5,4,3,3,3,3,3,3,SED
3,3,2,3,4,3,3,5,4,3,1,SAS
3,4,3,3,3,3,3,4,4,3,4,SAB
3,4,3,3,3,3,3,3,3,3,2,BE
4,3,2,3,3,3,3,3,3,3,3,BE
3,4,3,3,3,3,3,3,3,3,3,SHS
3,3,3,4,3,3,5,3,3,4,4,SAS
3,3,3,1,4,3,3,3,3,3,3,SIT
2,4,3,3,4,3,3,3,3,3,3,SAB
2,3,3,3,3,3,3,4,3,3,3,BE
3,2,3,3,2,3,2,3,3,3,3,SHS
3,3,4,2,4,3,5,3,3,1,4,BE
3,4,3,4,4,3,3,3,1,3,4,SAB
3,3,3,3,4,3,2,3,3,3,3,SHS
3,3,3,3,3,3,4,3,3,5,3,SIT
3,5,3,3,4,3,3,4,3,3,3,SAB
3,3,3,3,4,2,4,2,3,3,3,SAS
3,3,3,5,3,4,3,2,3,3,3,BE
3,3,3,3,3,5,3,3,4,3,4,SAS
4,1,5,3,1,2,3,3,3,4,3,SHS
3,3,3,3,3,1,4,3,3,4,2,SIT
3,3,3,3,3,3,4,3,1,3,1,BE
5,3,2,3,3,3,3,3,3,3,3,BE
3,3,2,2,3,3,5,3,2,4,3,SED
5,3,3,3,3,3,3,3,3,3,3,BE
3,3,3,3,3,3,3,3,3,3,3,SED
4,4,4,3,5,3,4,3,3,3,3,SAB
3,3,3,3,3,3,3,3,3,2,3,SIT
3,3,3,3,3,3,2,3,3,3,3,BE
3,4,3,3,3,3,4,4,3,3,3,SAB
3,3,2,3,2,3,3,3,3,4,3,SHS
4,3,3,3,3,3,3,3,4,3,3,BE
3,3,3,4,4,3,4,3,3,3,1,SAS
4,3,3,3,5,3,3,5,4,2,3,SHS
3,4,3,3,4,3,3,3,4,3,4,SED
3,3,3,4,3,4,4,3,3,3,3,SAS
3,4,3,3,3,3,4,3,3,4,3,SAB
3,3,3,4,3,3,3,3,3,3,3,BE
1,4,3,2,4,3,4,2,3,4,3,SHS
3,3,3,3,3,3,4,3,3,4,4,SED
3,3,3,3,3,4,3,2,2,3,3,SAB
2,3,3,5,3,3,3,3,1,4,3,BE
4,4,2,3,3,3,3,3,3,3,4,BE
5,3,3,3,3,3,5,3,3,3,1,SAS
3,4,3,4,3,3,3,5,3,3,3,SAB
3,3,3,3,3,3,3,3,3,3,2,SHS
4,3,3,2,3,3,3,3,2,4,3,SHS
3,4,3,3,2,3,4,3,3,3,3,SHS
3,3,3,3,4,3,4,3,3,3,3,SED
3,4,3,3,2,4,3,2,3,4,3,SHS
3,3,3,3,3,4,3,2,3,3,3,SED
3,3,3,3,4,3,2,3,3,3,3,SAB
3,3,3,3,3,3,3,5,3,3,3,SAS
